Name,Prefix,Ref,OriginUri,UpstreamUri
assignfeedback_structured,mod/assign/feedback/structured,377c72b91fc65e14b319fc0151a29df7412dfa98,https://gitpapl1.uth.tmc.edu/CLI_Engage_Moodle/assignfeedback_structured.git,https://github.com/tonyjbutler/moodle-assignfeedback_structured.git
auth_cliauth,auth/cliauth,ebfdda94fd732e2e0d9a7942ca163deb7b48bb3f,https://gitpapl1.uth.tmc.edu/CLI_Engage_Moodle/auth_cliauth.git,
block_cliengage_dashboard,blocks/cliengage_dashboard,734cebbcb9d7e7a828b55ce4e06a9a6e71d83c01,https://gitpapl1.uth.tmc.edu/CLI_Engage_Moodle/block_cliengage_dashboard.git,
block_configurable_reports,blocks/configurable_reports,2bc0db71d338e036175936431a53c518d303ccd8,https://gitpapl1.uth.tmc.edu/CLI_Engage_Moodle/block_configurable_reports.git,
block_course_modulenavigation,blocks/course_modulenavigation,8e55e00e7ae5744e6377abe5b4e748466be8b076,https://gitpapl1.uth.tmc.edu/CLI_Engage_Moodle/block_course_modulenavigation.git,https://github.com/DigiDago/moodle-block_course_modulenavigation.git
block_elisadmin,blocks/elisadmin,cf6bf69b394de60e8f688cb7fd1d2f5700650331,https://gitpapl1.uth.tmc.edu/CLI_Engage_Moodle/block_elisadmin.git,
block_elisdashboard,blocks/elisdashboard,615a66c7d5f75a259d9529c2fe43994ee78a7669,https://gitpapl1.uth.tmc.edu/CLI_Engage_Moodle/block_elisdashboard.git,
customcertelement_corecompetencies,mod/customcert/element/corecompetencies,5e65a87abe3dc8ded20ca3c85c1d393cd6ff4821,https://gitpapl1.uth.tmc.edu/CLI_Engage_Moodle/customcertelement_corecompetencies.git,
enrol_authorizedotnet,enrol/authorizedotnet,532f88c7c3635bd2d0d86f75f9ed6ab7c668c38f,https://gitpapl1.uth.tmc.edu/CLI_Engage_Moodle/enrol_authorizedotnet.git,
enrol_elis,enrol/elis,9550045d3eb27fef74b40f065d1a34ab5f123f7b,https://gitpapl1.uth.tmc.edu/CLI_Engage_Moodle/enrol_elis.git,
format_buttons,course/format/buttons,ce7e9145fd30f537f5cfe713c7e1969c03d24c94,https://gitpapl1.uth.tmc.edu/CLI_Engage_Moodle/format_buttons.git,https://github.com/brandaorodrigo/moodle-format_buttons.git
format_fntabs,course/format/fntabs,2ada173bc38f65a42ab49279b4fd87aa5ce32a7e,https://gitpapl1.uth.tmc.edu/CLI_Engage_Moodle/format_fntabs.git,https://github.com/ned-code/moodle-format_fntabs.git
format_grid,course/format/grid,22329e6223d9ffd782c1b93c1c78845cd1decf55,https://gitpapl1.uth.tmc.edu/CLI_Engage_Moodle/format_grid.git,https://github.com/gjb2048/moodle-format_grid.git
format_onetopic,course/format/onetopic,6c6911e1fc9ff7d4f562072ac1bef3939d5aab82,https://gitpapl1.uth.tmc.edu/CLI_Engage_Moodle/format_onetopic.git,https://github.com/davidherney/moodle-format_onetopic.git
local_certdelivery,local/certdelivery,b050040ac33f63e08d9884d831fa30277c475919,https://gitpapl1.uth.tmc.edu/CLI_Engage_Moodle/local_certdelivery.git,
local_cliengage,local/cliengage,e55b8d5bb11e8cc5a7038d5a32f2738bd43fae9e,https://gitpapl1.uth.tmc.edu/CLI_Engage_Moodle/local_cliengage.git,
local_datahub,local/datahub,ad39147fdf68686665ce1d56ce1bc8bffbb52aa1,https://gitpapl1.uth.tmc.edu/CLI_Engage_Moodle/local_datahub.git,
local_eliscore,local/eliscore,e856353de2df96c208882e4cae0befe64664fad9,https://gitpapl1.uth.tmc.edu/CLI_Engage_Moodle/local_eliscore.git,
local_elisprogram,local/elisprogram,1080a63fa82919688c14d42d8342d4314bc8ff8e,https://gitpapl1.uth.tmc.edu/CLI_Engage_Moodle/local_elisprogram.git,
local_elisreports,local/elisreports,35ad23692723688a3189cdaf8d2a2740a0ead294,https://gitpapl1.uth.tmc.edu/CLI_Engage_Moodle/local_elisreports.git,
local_lib,local/lib,347e1cf573c1263c6219ce5fb903ec4c2edf2dbc,https://gitpapl1.uth.tmc.edu/CLI_Engage_Moodle/local_lib.git,
local_pages,local/pages,94671762e67cfae338fd5ddea13abe7036fa7b27,https://gitpapl1.uth.tmc.edu/CLI_Engage_Moodle/local_pages.git,https://github.com/learningworks/moodle-local_pages.git
local_profilecohort,local/profilecohort,a3447f0fe55ac0d8d548efa29cc8dafa21d5d12e,https://gitpapl1.uth.tmc.edu/CLI_Engage_Moodle/local_profilecohort.git,https://github.com/moodleuulm/moodle-local_profilecohort.git
logstore_xapi,admin/tool/log/store/xapi,b5e699f543da6306f09207136b9a0a36f28c9164,https://gitpapl1.uth.tmc.edu/CLI_Engage_Moodle/logstore_xapi.git,https://github.com/xAPI-vle/moodle-logstore_xapi.git
mod_certificate,mod/certificate,08a0b04ab3884267ca387e97ef254659923be30f,https://gitpapl1.uth.tmc.edu/CLI_Engage_Moodle/mod_certificate.git,https://github.com/mdjnelson/moodle-mod_certificate.git
mod_customcert,mod/customcert,378396ecf6a7208039bb0dc288f1af015f1c31aa,https://gitpapl1.uth.tmc.edu/CLI_Engage_Moodle/mod_customcert.git,https://github.com/mdjnelson/moodle-mod_customcert.git
mod_payment,mod/payment,a7779d7319a45ba9dd33d0524bd5087de6a7ea19,https://gitpapl1.uth.tmc.edu/CLI_Engage_Moodle/payment.git,
mod_questionnaire,mod/questionnaire,9d2e71ebc8d0470bf5f56f3c482398a2d28758df,https://gitpapl1.uth.tmc.edu/CLI_Engage_Moodle/mod_questionnaire.git,https://github.com/PoetOS/moodle-mod_questionnaire.git
mod_webexactivity,mod/webexactivity,74a49b7bcf130f2bf72f30df76c13db7b92ef11d,https://gitpapl1.uth.tmc.edu/CLI_Engage_Moodle/mod_webexactivity.git,https://github.com/merrill-oakland/moodle-mod_webexactivity.git
moodle,,0f13016a50a20395c0fab78a7693ec240b8a0eaf,https://gitpapl1.uth.tmc.edu/tcampbell1/moodle_moodle.git,https://github.com/moodle/moodle.git
portfolio_cliengage,portfolio/cliengage,26ca5660bfa84a2f52e08a059d26a8c3a8a0c613,https://gitpapl1.uth.tmc.edu/CLI_Engage_Moodle/portfolio_cliengage.git,
quizaccess_reattemptchecker,mod/quiz/accessrule/reattemptchecker,ecace5f7f6f06939a852fedb483562fc4ef40a58,https://gitpapl1.uth.tmc.edu/CLI_Engage_Moodle/quizaccess_reattemptchecker.git,
report_certificates,report/certificates,ad099f50a9cf6a3875dcae93070b5f78a993a2a5,https://gitpapl1.uth.tmc.edu/CLI_Engage_Moodle/report_certificates.git,
report_itemanalysis,report/itemanalysis,dfc9662d163699334d9c472629b595b94f1c8891,https://gitpapl1.uth.tmc.edu/CLI_Engage_Moodle/report_itemanalysis.git,
theme_cliengage2,theme/cliengage2,c57018ac89a0db3c7b3224b8be51422aa2edc87f,https://gitpapl1.uth.tmc.edu/CLI_Engage_Moodle/theme_cliengage2.git,
theme_cliengage3,theme/cliengage3,c63f5506ec47c0f41380897c4b8f9f152b3c832e,https://gitpapl1.uth.tmc.edu/CLI_Engage_Moodle/theme_cliengage3.git,
